INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,gt_25k_05_p6
College of Business and Technology-Miami Gardens,Miami Gardens,FL,2,3,21.0,,,,,,,,,0.0,50.0,0.02,0.12,0.82,0.0,0.02,0.0,0.0,0.0,0.02,0.0,,,1.0,,,,,1.0,0.5926,9485,105.3029443,0.637647059,,,,,
Utica College,Utica,NY,3,2,13.0,465.0,475.0,450.0,21.0,19.0,21.0,,946.0,0.0,2831.0,0.6976,0.1035,0.0788,0.0258,0.0064,0.0021,0.018000000000000002,0.0279,0.0399,0.2187,,22383.0,0.3817,0.7194,,,,0.7214,0.2836,25000,277.55125,0.783166904,0.473104863,,44700.0,0.660323501,1.0
Westminster College,Salt Lake City,UT,3,2,12.0,555.0,555.0,,25.0,25.0,24.0,,1134.0,0.0,2260.0,0.6854,0.0128,0.0982,0.0248,0.008,0.0035,0.0248,0.054000000000000006,0.0885,0.0597,,21837.0,0.2767,0.75,,0.6667,,0.6207,0.1673,24500,272.000225,0.90270936,0.569770685,,45500.0,0.736474693,1.0
Strayer University-Henrico Campus,Glen Allen,VA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.525424,0.444774917,,,51700.0,0.722576857,1.0
Beauty Schools of America-Homestead,Homestead,FL,1,3,21.0,,,,,,,,,0.0,655.0,0.0748,0.2305,0.6168,0.0015,0.0,0.0382,0.0275,0.0,0.0107,0.0,,18912.0,0.6832,,0.8523,,,0.3935,0.6504,9500,105.469475,0.33682266,,0.7174,14300.0,0.201604813,0.0
Georgia Military College-Augusta Campus,Martinez,GA,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,116.571525,0.480910918,,,,,
Academy of Hair Design-Oklahoma City,Oklahoma City,OK,1,3,11.0,,,,,,,,,0.0,55.0,0.6909,0.1455,0.0,0.0182,0.0727,0.0182,0.0182,0.0,0.0364,0.4909,,10952.0,0.6582,,0.5455,,0.5,0.8481,0.4727,15178.5,168.5124659,0.466666667,,,,,
Warren Wilson College,Swannanoa,NC,3,2,21.0,595.0,535.0,565.0,25.0,,,,1136.0,0.0,821.0,0.8538,0.039,0.0451,0.0134,0.0097,0.0,0.0171,0.0219,0.0,0.0037,,22791.0,0.331,0.6869,,,,0.588,0.0313,21500,238.694075,0.904761905,0.53931441,,25500.0,0.318548381,0.0
Strayer University-Savannah Campus,Savannah,GA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.525424,0.444774917,,,51700.0,0.722576857,1.0
CUNY Brooklyn College,Brooklyn,NY,3,1,11.0,530.0,570.0,,,,,,1100.0,0.0,12625.0,0.3796,0.2187,0.179,0.1739,0.0016,0.0023,0.0116,0.0334,0.0,0.2504,5775.0,,0.4816,0.8640000000000001,,0.5,,0.1893,0.2761,11000,122.12255,0.783825816,0.522601281,,44500.0,0.61944896,1.0
Infinity Career College,Gulfport,MS,1,3,13.0,,,,,,,,,0.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4242,,11590.0,0.75,,0.8235,,0.8,0.7143,0.5303,4250,47.1837125,,,0.918905405,14800.0,,
Frontier Nursing University,Hyden,KY,4,2,42.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
